truck_id,week,total_miles,total_hours,avg_speed_mph,idle_hours,fuel_gallons
T-0030,2026-W17,1547.4,23.0,67.3,11.6,308.6
T-0039,2026-W17,3166.8,30.9,102.5,12.9,544.8
T-0019,2026-W17,275.5,32.4,8.5,6.7,341.0
T-0026,2026-W17,236.5,62.7,3.8,2.3,81.5
T-0035,2026-W17,1432.8,47.1,30.4,0.9,81.2
T-0021,2026-W17,778.3,31.2,24.9,9.8,161.1
T-0043,2026-W17,3000.9,22.8,131.6,7.2,423.0
T-0008,2026-W17,2958.6,52.7,56.1,13.9,135.3
T-0019,2026-W17,787.3,30.7,25.6,1.7,327.0
T-0023,2026-W17,3433.4,53.5,64.2,6.0,580.5
T-0026,2026-W17,2801.6,64.3,43.6,10.0,510.6
T-0033,2026-W17,1267.1,59.2,21.4,3.9,502.6
T-0030,2026-W17,2934.1,33.8,86.8,5.1,403.5
T-0011,2026-W17,2132.5,51.8,41.2,9.8,285.8
T-0042,2026-W17,2697.0,47.9,56.3,13.4,274.3
T-0001,2026-W17,703.9,49.7,14.2,12.3,409.3
T-0023,2026-W17,659.9,25.3,26.1,14.7,278.4
T-0001,2026-W17,3179.3,59.2,53.7,3.5,99.9
T-0048,2026-W17,1938.5,21.3,91.0,6.7,555.4
T-0010,2026-W17,1669.1,68.5,24.4,2.6,355.3
T-0009,2026-W17,2512.0,61.3,41.0,5.8,558.0
T-0002,2026-W17,1031.9,64.5,16.0,13.6,355.1
T-0045,2026-W17,1385.8,28.3,49.0,4.2,200.4
T-0037,2026-W17,2260.1,38.3,59.0,4.3,507.4
T-0001,2026-W17,1004.7,24.8,40.5,12.6,505.2
T-0002,2026-W17,1772.1,54.8,32.3,10.9,544.4
T-0021,2026-W17,1812.8,25.8,70.3,8.3,514.4
T-0003,2026-W17,1820.3,63.0,28.9,12.2,332.6
T-0032,2026-W17,1921.0,65.2,29.5,3.0,433.1
T-0034,2026-W17,3379.5,42.4,79.7,11.4,392.0
T-0050,2026-W17,1437.5,38.3,37.5,0.8,475.4
T-0047,2026-W17,3278.2,37.4,87.7,2.0,467.2
T-0046,2026-W17,1552.1,32.2,48.2,14.9,510.0
T-0015,2026-W17,2106.5,51.5,40.9,1.2,202.4
T-0002,2026-W17,2180.9,41.0,53.2,7.4,562.9
T-0015,2026-W17,2929.9,40.6,72.2,8.2,560.2
T-0022,2026-W17,1330.5,66.2,20.1,13.6,476.3
T-0050,2026-W17,3062.3,68.2,44.9,9.8,128.5
T-0006,2026-W17,999.7,21.8,45.9,9.7,317.5
T-0014,2026-W17,2129.8,63.8,33.4,13.4,493.3
T-0002,2026-W17,2795.5,30.4,92.0,2.2,93.2
T-0039,2026-W17,3076.2,52.9,58.2,7.8,588.7
T-0026,2026-W17,3143.1,24.3,129.3,5.9,550.2
T-0017,2026-W17,1654.8,30.4,54.4,11.1,96.7
T-0036,2026-W17,2671.9,35.3,75.7,0.9,417.5
T-0022,2026-W17,1427.1,54.8,26.0,14.7,222.4
T-0037,2026-W17,400.0,29.9,13.4,5.1,85.3
T-0004,2026-W17,339.6,34.7,9.8,3.1,578.5
T-0013,2026-W17,1145.2,66.3,17.3,14.9,262.3
T-0002,2026-W17,3037.6,69.6,43.6,6.0,509.4
T-0015,2026-W17,3066.7,67.1,45.7,1.3,412.3
T-0018,2026-W17,1677.8,55.5,30.2,12.9,399.7
T-0046,2026-W17,3356.4,40.4,83.1,3.5,456.6
T-0021,2026-W17,1132.4,28.7,39.5,14.6,544.8
T-0013,2026-W17,342.8,22.6,15.2,2.8,510.2
T-0037,2026-W17,483.7,65.3,7.4,3.4,172.2
T-0038,2026-W17,3474.0,60.5,57.4,2.2,533.6
T-0022,2026-W17,427.7,21.3,20.1,1.2,323.2
T-0004,2026-W17,2906.9,49.7,58.5,4.9,457.4
T-0022,2026-W17,1908.0,53.3,35.8,9.0,132.9
T-0030,2026-W17,2813.6,68.2,41.3,14.6,298.5
T-0039,2026-W17,1278.1,24.5,52.2,2.9,597.2
T-0041,2026-W17,286.0,39.0,7.3,7.6,448.7
T-0038,2026-W17,1379.1,34.1,40.4,5.2,576.1
T-0019,2026-W17,2392.2,49.0,48.8,4.4,494.7
T-0034,2026-W17,1474.9,39.6,37.2,9.0,367.3
T-0017,2026-W17,1681.0,35.8,47.0,12.5,76.4
T-0005,2026-W17,1050.8,33.3,31.6,9.1,573.8
T-0038,2026-W17,3366.2,40.4,83.3,8.9,184.0
T-0022,2026-W17,2268.5,44.5,51.0,11.7,552.9
T-0008,2026-W17,1017.2,63.1,16.1,1.6,464.2
T-0012,2026-W17,479.7,40.7,11.8,1.0,550.5
T-0043,2026-W17,1953.5,63.0,31.0,9.3,580.9
T-0012,2026-W17,1063.9,57.0,18.7,10.2,60.7
T-0017,2026-W17,2073.9,56.8,36.5,13.3,287.8
T-0020,2026-W17,848.5,41.2,20.6,10.0,139.4
T-0022,2026-W17,1829.0,31.9,57.3,8.5,424.7
T-0029,2026-W17,1462.0,22.4,65.3,9.5,463.9
T-0038,2026-W17,3305.0,22.6,146.2,1.6,492.3
T-0013,2026-W17,2048.8,40.8,50.2,8.5,122.6
